,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
record,9.802169872133189e-06,0.0,0.0,0.0,1.1449231404036119e-05,0.0,0.0,0.0,4.342915820694535e-06,1.0573435815073896e-05,0.0,7.702971445279055e-06,0.0,2.3935779111910645e-05,0.0,0.0,4.153259692482747e-06,0.0,0.0,0.0
true,1.9155559511650138e-06,1.55326568524285e-06,1.7707541551690467e-06,2.7852354589240394e-06,1.6780981163892885e-06,2.68736537832274e-06,7.004681101967115e-07,3.2575953951939514e-06,1.4852369640493412e-06,1.2914679171439952e-06,2.341836127080586e-06,2.257938854131066e-06,2.3513222377864865e-06,2.3388167162739254e-06,1.6233770152615195e-06,2.035454520396013e-06,2.6376833714511006e-06,0.0,6.652580576626269e-07,3.811415287744662e-06
exchange,9.990307637758025e-06,0.0,0.0,0.0,9.72421135499047e-06,9.344130365431609e-06,9.74124914210476e-06,7.55155935661477e-06,4.426393522166747e-06,1.7961756968511993e-06,1.0856623352506932e-05,0.0,0.0,3.252263368047082e-05,4.5155770226182615e-06,7.077278051633371e-06,2.822093567730488e-06,0.0,4.625962969522161e-06,7.9520557776395e-06
financial,4.918259066370285e-06,3.828576383335391e-06,1.0909813974946988e-05,0.0,1.321005236851753e-05,8.27951917660043e-06,3.306647101107679e-05,4.461157422764823e-06,1.4378221100091118e-05,1.0078673221543021e-05,3.2070081012458657e-06,5.4108789098184276e-06,0.0,2.402203164757089e-06,1.0668577597443748e-05,1.1495595083716784e-05,7.501469383019787e-06,4.260768810542498e-06,2.7328922075980954e-06,7.046194534818464e-06
genderneutral,4.918259066370285e-06,3.190531540327701e-06,3.6372701952466453e-06,0.0,5.17019677430121e-06,1.3801594377343287e-06,1.4388173380827188e-06,3.12070910109345e-05,7.408261571848854e-06,1.5917093273337174e-06,2.0836307391933388e-05,6.956573746381906e-06,8.67573684101245e-05,4.3195290743823584e-05,6.001779636089895e-06,1.0453289319485818e-06,9.584708438533331e-06,0.0,3.140559214091355e-05,1.0177034772298647e-05
lean,5.581993082924964e-06,7.241838816203807e-06,0.0,0.0,6.519937048206717e-06,1.566206700883012e-05,1.6327693519535617e-05,0.0,4.946223242832551e-06,9.031682546223858e-06,0.0,0.0,0.0,0.0,3.784432255181865e-06,5.9314090252632025e-06,4.730222806661555e-06,0.0,0.0,4.443093613245742e-06
coloring,1.5027292193774247e-05,9.748039239071606e-06,5.5561236706624766e-05,8.739277904006372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refuge,9.802169872133189e-06,6.358559832967556e-06,3.624210359932792e-05,0.0,0.0,0.0,0.0,0.0,8.685736390474473e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153259692482747e-06,2.1228489161242454e-05,0.0,7.802223633713924e-06
pioneer,1.5027292193774247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.104951898167625e-06,0.0,0.0,0.0,0.0,1.0188075915056877e-05,0.0,6.3671868341107225e-06,0.0,0.0,0.0
isolated,6.471902479177861e-06,4.198251987447736e-06,0.0,0.0,7.559378186162447e-06,0.0,0.0,0.0,5.734775015357262e-06,0.0,0.0,5.085902473029534e-06,3.1774375172618664e-05,0.0,8.775383679226897e-06,6.877024067450799e-06,5.4843387038837176e-06,0.0,0.0,1.0302664886077804e-05
